"name","address","category"
"Bigcut Hair World Center","5th floor,Zone A, MBK Center, 444 Phayathai Road Wang Mai, Pathumwan, Bangkok,10330","barbershop"
"Runway Hair salon","32/1 Soi Sukhumvit 39 The Manor Sukhumvit ,  Khlong Tan Nuea Watthana Bangkok 10110","barbershop"
"88 Beauty Bar","4077 Sukhumvit Rd. Soi 103/2, Bangna, Bangna, Bangkok, 10260","barbershop"
"Circle Hair Thonglor","Thonglor Condominium Tower B Soi Thonglor, 18 Sukhumvit 55, Khlong Tun Neua, Watthana, Bangkok 10110","barbershop"
"Oasis Spa Sukhumvit 31","64 Sukhumvit 31 Road Soi Sawasdee Wattana Bangkok 10110","barbershop"
"Salon at MYTH Urban","28/3 Soi Ruamrudee, Wireless Road Lumpini, Pathumwan, Bangkok 10330","barbershop"
"Veora Salon","14/46 Cascade Bangna Bangkaeo Bangphli Samut Prakan","barbershop"
"Oasis Spa at Sukhumvit 51","88 Sukhumvit 51 Road Wattana Bangkok 10110","barbershop"
"Finale Hairdressing","Rainhill L3-06 777 Sukhumvit 47 rd Klongton-Nua Wattana Bangkok 10110","barbershop"
"786 Salon","4th Fl, The Market Bangkok, Zone M1, Ratchadamri Rd, Lumphini, Pathum Wan, Bangkok 10330","barbershop"
"The Hairist (Siam Square Branch)","262 Siam square Soi 3, 2th Floor Lido Connect, Rama 1 Rd, Pathum Wan, Pathum Wan District, Bangkok 10330","barbershop"
"Create Hair (MBK)","5th Floor, MBK Center, 444 Phayathai Rd, Khwaeng Wang Mai, Khet Pathum Wan, Bangkok 10330","barbershop"
"SPA Cenvaree @ Centara Grand CentralWorld Bangkok","Centara Grand at CentralWorld 999/99 Rama 1 Road, Pathumwan, Bangkok 10330, Thailand","barbershop"
"Sugarholic (Suanluang Square Branch)","Chulalongkorn Soi 171, Rama 1 Road Wang Mai, Pathum Wan District, Bangkok 10330","barbershop"
"Lilac by 106 Hair","111, Rushmore 1st Floor, Soi Thonglor 5, Sukhumvit 55, Klongtan Nua, Wattana, Bangkok 10110","barbershop"
"Happening Nail & Hair Spa","87/5 Soi Akkapat, Thonglor 13, Sukhumvit Road, Klongton-Nue, Wattana. Bangkok 10110","barbershop"
"Oasis Spa Pattaya","322 Moo 12 Chateau Dale Tappraya Road, Banglamung Pattaya, Chonburi","barbershop"
"Hashtag Hair & Nail Studio","2189  Sukhumvit 77 Road, Suan Luang, Suan Luang, Bangkok 10250","barbershop"
"De Juice Hair Stylist","4 Branches : Siam Square Soi 1(Scala), Onnut, Silom, Ramintra","barbershop"
"Tara Salon At Anantara Siam Bangkok Hotel","Anantara Siam Bangkok Hotel, 155 Rajadamri Road, Lumpini, Pathumwan, Bangkok, 10330","barbershop"
"Salon de Grace","2249 Sukhumvit 89 Alley, Bang Chak, Phra Khanong bangkok 10260","barbershop"
"Sugarholic (Sukhumvit 26 Branch)","115 Nihonmachi Community Mall ,2nd Floor ,Soi Sukhumvit 28, Khwaeng Khlong Tan, Khet Khlong Toei, Bangkok 10110","barbershop"
"Gangnam Korean Hair Salon","10/30 The Trendy Office Building, 1A frool , soi sukhumvit 13 ,Khlong Toei Nuea, Watthana, Bangkok 10110","barbershop"
