"name","address","category"
"Bong Bong Clinic","Home Place Building (Floor 12) Soi Sukhumvit 55, Khlong Tan Nuea, Watthana 10110","hair_removal"
"Golden Massage","22/1 Ekamai Soi 2, Soi Sukhumvit 63, Phra Khanong, Watthana, Bangkok 10110","hair_removal"
"La La Lash (Asoke Branch)","LG floor Exchange Tower 388, Sukhumvit Rd, Klongtoey bangkok 10110","hair_removal"
"The Cocktail Clinic","3rd Floor Wannasorn Tower, BTSPhayathai Exit 4, Phayathai, Ratchathewi, Bangkok, 10400","hair_removal"
"Jasmin Hair Removal (Time Square BTS Asoke)","Time Square 3rd floor, BTS Asok Exit 5 or MRT Sukhumvit, Sukhumvit 12-14","hair_removal"
"Lek Massage Asoke","390/5 Sukhumvit Road, klongtoey (Between ExchangeTower and Sukhumvi 18), Khlong Toei, Khlong Toei, Bangkok 10110","hair_removal"
"The Beauty Parlour","Train Market Ratchada Ratchadaphisek Rd, Din Daeng, Din Daeng, Bangkok 10400","hair_removal"
"Amara Beauty & Massage","3rd Fl, The PARQ, 88 Ratchadaphisek Rd, Khlong Toei, Bangkok 10110","hair_removal"
"Wax On Studio","34/1 2 nd Floor, The Twenty Six, Soi Sukhumvit 26, Khlongton, Khlongtoey, Bangkok, 10110","hair_removal"
"Lek Massage Bangkok","674-674/1 Sukhumvit 24, Klongton, Klongtoey, Bangkok 10110","hair_removal"
"Treasure Spa (Siam Square Branch)","Treasure Spa Siam Square, 426 Siam Square Soi 2, Bangkok","hair_removal"
"Rainbow nails Victory Monument","1 Victory Corner 2nd FL Ratchawithi 11 Alley, Thanon Phaya Thai, Ratchathewi, Bangkok 10400","hair_removal"
"Lek Massage Thonglor","209 Soi Jaroensuk, Ekkamai Road, Khlong Toei, Khlong Toei, Bangkok 10110","hair_removal"
"Jorjia Spa","1209,1211 Pattanakarn Road, Suanluang Bangkok 10250","hair_removal"
"The Triplets Cafe X Nail Bar","870 Sukhumvit 38-40, Sukhumvit Rd, Phra Khanong, Khlong Toei, Bangkok 10110","hair_removal"
"che.nail","27 Seri 5 Alley, Suan Luang, Bangkok 10250","hair_removal"
"Artista Beauty Lounge","246 Times Square Building Mall, Room 110, 1st Fl. Sukhumvit Rd. Klongtoei, Klongtoei District, Bangkok 10110","hair_removal"
"Rainbow Nails Chiang Mai","Nimmanahaeminda Road, Su Thep, Chiang Mai, Chiang Mai 50200","hair_removal"
"Lek Massage House","887/1 Rama I Rd, Wang Mai, Pathum Wan, Bangkok 10330","hair_removal"
"Sunshine Spa & Massage","23/1 Soi Ekkamai 12, Khlong Tan Nuea, Watthana, Bangkok 10110","hair_removal"
"Lek Gold Sukhumvit 24","1/4 Sukhumvit 24 Alley, Klongton, Khlong Toei, Bangkok 10110","hair_removal"
"Groove Clinic","33 Soi phaholyothin34 yaek1, Sena Nikhom, Chatuchak, Bangkok 10900","hair_removal"
"Lek Massage @ BTS Siam","402 Rama 1 Road, Siam Square BTS Siam Square, Exit No. 6, Pathumwan, Pathum Wan, Bangkok 10330","hair_removal"
"Sunday Organic Salon","52/1 Soi Thonglor25, Sukhumvit55, Klong Tan Nue, Wattana, Bangkok 10110","hair_removal"
"Strip Ministry of Waxing (The EmQuartier)","4Fl, Helix Quartier, The EmQuartier 695, 693 ถนน สุขุมวิท Khlong Tan Nuea, Watthana, Bangkok 10110","hair_removal"
"Lucky3DEyebrow","42 Liberty Place Sukhumvit 22, Klongtoei, Bangkok 10110","hair_removal"
"Ramilla","The Jas Wanghin 728 Ladprao-Wanghin Rd., Ladprao Ladprao Bangkok 10230","hair_removal"
"OMLASH and More","87/5 Thonglor 13, 2nd floor  Klongton-Nuan Wattana Bangkok 10110","hair_removal"
"Pimmalai Spa","2105/1 Sukhumvit Road (Between Soi 81 and 83) Bangchak, Phrakanong Bangkok 10260, Thailand","hair_removal"
"Happening Nail & Hair Spa","87/5 Soi Akkapat, Thonglor 13, Sukhumvit Road, Klongton-Nue, Wattana. Bangkok 10110","hair_removal"
"Morning Kiss Nail Story","2nd floor Centerpoint of Siam Square building (BTS Siam), Khwaeng Pathum Wan, Khet Pathum Wan, Bangkok 10330","hair_removal"
"La La Lash (Ari Branch)","5/4  Sanun Napha Project, Ari Soi 1, Phahonyothin Road, Samsen Nai, Phaya Thai, Bangkok 10400","hair_removal"
"J Lolita Nail Spa and More","2fl. Bambini Villa, sukhumvit 26 Soi, Atthakrawi 4, Khlong Tan, Khlong Toei, Bangkok 10110","hair_removal"
"Benefit Cosmetics Brow Bar (Siam Paragon)","Siam Paragon, Rama 1 Road, Khwaeng Pathum Wan, Khet Pathum Wan, Krung Thep Maha Nakhon 10330","hair_removal"
"Sugarholic (Sukhumvit 26 Branch)","115 Nihonmachi Community Mall ,2nd Floor ,Soi Sukhumvit 28, Khwaeng Khlong Tan, Khet Khlong Toei, Bangkok 10110","hair_removal"
"The Skin Clinic","7 Branches in Bangkok","hair_removal"
