"name","address","category"
"NAIL ME BABY","211/1A Asoke Towers, Sukhumwit 21, Khlong Toei Nuea, Watthana, Bangkok 10110","nails"
"Bigcut Hair World Center","5th floor,Zone A, MBK Center, 444 Phayathai Road Wang Mai, Pathumwan, Bangkok,10330","nails"
"Thonglor Nails","154/AB Anakvanit Bldg. (Next to Market Place) Thonglor between Soi 4-6,  Sukhumvit 55 (1.13 mi), Bangkok, Thailand 10110","nails"
"88 Beauty Bar","4077 Sukhumvit Rd. Soi 103/2, Bangna, Bangna, Bangkok, 10260","nails"
"JENNY FOCUS","3rd floor No.88 Building Sukhumvit 53 Soi Paidi Madi Sukhumvit RD, Bangkok 10110","nails"
"Ler Nails & Spa","26/2 Inthamara Alley, Samsen Nai, Phaya Thai, Bangkok 10400","nails"
"Magic All Beauty","276/6 TC Green Condo, Bangkapi, Huaykwang Bangkok 10310","nails"
"Nnails Gateway","982/22 Gateway Ekamai, 3rd Floor, Sukhumvit Rd, Phra Khanong, Khlong Toei, Bangkok 10110","nails"
"Salon at MYTH Urban","28/3 Soi Ruamrudee, Wireless Road Lumpini, Pathumwan, Bangkok 10330","nails"
"Paint Me Studio","Sena Center, Lat Yao, Chatuchak, Bangkok 10900","nails"
"Have a Good Nails","2 Branches in Bangkok","nails"
"Nails Motel","BTS Phrakhanong 510 sukhumvit rd, Phra khanong, klong toei Bangkok 10110","nails"
"Laks Thai Beauty Nails & Eyelashes","204/10-12 Rd.sukhumvit soi77 Prakanong nua wattana Bangkok 10110","nails"
"Glamily Studio","22/27 Khlong Lamchiak 31, Prasert-Manukitch Rd, Khlong Kum, Bueng Kum, Bangkok 10230","nails"
"Lek Massage Asoke","390/5 Sukhumvit Road, klongtoey (Between ExchangeTower and Sukhumvi 18), Khlong Toei, Khlong Toei, Bangkok 10110","nails"
"Veora Nail & Spa","14/46 Cascade Bangna Bangkaeo Bangphli Samut Prakan 10540","nails"
"The Beauty Parlour","Train Market Ratchada Ratchadaphisek Rd, Din Daeng, Din Daeng, Bangkok 10400","nails"
"Guyasuka Massage For Health","55 Pracharathbampen Soi 7 Huaikwang Bangkok 10310","nails"
"Amara Beauty & Massage","3rd Fl, The PARQ, 88 Ratchadaphisek Rd, Khlong Toei, Bangkok 10110","nails"
"Lek Massage Bangkok","674-674/1 Sukhumvit 24, Klongton, Klongtoey, Bangkok 10110","nails"
"Rainbow nails Victory Monument","1 Victory Corner 2nd FL Ratchawithi 11 Alley, Thanon Phaya Thai, Ratchathewi, Bangkok 10400","nails"
"I Nails & Spa Home Village Kaset","89 Home Village Kaset, Ngamwongwan 52 , Ngamwongwan Rd. Bangkok 10900","nails"
"Nailly Nail","102/211 Song Prapha 13, Don Mueang, Bangkok 10210","nails"
"Lek Massage Thonglor","209 Soi Jaroensuk, Ekkamai Road, Khlong Toei, Khlong Toei, Bangkok 10110","nails"
"The Triplets Cafe X Nail Bar","870 Sukhumvit 38-40, Sukhumvit Rd, Phra Khanong, Khlong Toei, Bangkok 10110","nails"
"che.nail","27 Seri 5 Alley, Suan Luang, Bangkok 10250","nails"
"Artista Beauty Lounge","246 Times Square Building Mall, Room 110, 1st Fl. Sukhumvit Rd. Klongtoei, Klongtoei District, Bangkok 10110","nails"
"Rainbow Nails Chiang Mai","Nimmanahaeminda Road, Su Thep, Chiang Mai, Chiang Mai 50200","nails"
"Lek Massage House","887/1 Rama I Rd, Wang Mai, Pathum Wan, Bangkok 10330","nails"
"Lek Massage @ BTS Siam","402 Rama 1 Road, Siam Square BTS Siam Square, Exit No. 6, Pathumwan, Pathum Wan, Bangkok 10330","nails"
"Sunday Organic Salon","52/1 Soi Thonglor25, Sukhumvit55, Klong Tan Nue, Wattana, Bangkok 10110","nails"
"She's Grace Beauty Studio","She's Grace Beauty Studio (3rd Floor) 61/46 Sukhumvit Soi 26, Khlong Tan, Khlong Toei, Bangkok,Thailand, 10110","nails"
"Sugarholic (Suanluang Square Branch)","Chulalongkorn Soi 171, Rama 1 Road Wang Mai, Pathum Wan District, Bangkok 10330","nails"
"Happening Nail & Hair Spa","87/5 Soi Akkapat, Thonglor 13, Sukhumvit Road, Klongton-Nue, Wattana. Bangkok 10110","nails"
"Morning Kiss Nail Story","2nd floor Centerpoint of Siam Square building (BTS Siam), Khwaeng Pathum Wan, Khet Pathum Wan, Bangkok 10330","nails"
"Champagne Beauty Bar","158/1 B, Floor 2 Aneckvanich Building , Between Thonglor soi 4 and 6, Klongtan Nue, Wattana, Bangkok 10110","nails"
"J Lolita Nail Spa and More","2fl. Bambini Villa, sukhumvit 26 Soi, Atthakrawi 4, Khlong Tan, Khlong Toei, Bangkok 10110","nails"
"Hashtag Hair & Nail Studio","2189  Sukhumvit 77 Road, Suan Luang, Suan Luang, Bangkok 10250","nails"
"Daluna Salon","3A 104, Racquet Club, 49/9 Soi Sukhumvit 39, Khlong Tan Nuea, Watthana, Bangkok 10110","nails"
"Salon de Grace","2249 Sukhumvit 89 Alley, Bang Chak, Phra Khanong bangkok 10260","nails"
"Sugarholic (Sukhumvit 26 Branch)","115 Nihonmachi Community Mall ,2nd Floor ,Soi Sukhumvit 28, Khwaeng Khlong Tan, Khet Khlong Toei, Bangkok 10110","nails"
"Botanica No.36","Noble Remix Fl2, Soi Sukhumvit 36,Sukhumvit Rd, Khlong Tan, Khlong Toei, Bangkok 10110","nails"
"H.O.N House of Nails Siam Square","Siam Square Soi 3","nails"
"Secret Wing","2-25 Ploenchit Center 2nd Fl,  Soi Pha Suk, Khlong Toei, Bangkok 10110","nails"
"Rejuv Salon (Sathorn City Branch)","Sathorn City Building 175 South Sathorn Rd., Tungmahamek, Sathorn, Bangkok 10120","nails"
"Diva District Beauty Service","113, 1 Soi Sukhumvit 64, Bang Chak, Phra Khanong, Bangkok 10260","nails"
"Color Nail & Spa (Siam Square)","Siam Square soi 2, Bangkok, Thailand","nails"
"Marukkan Spa And Beauty","1038 2 Phatthanakan Rd, Prawet, Bangkok 10250","nails"
"NS Nail and Beauty","2nd floor Seacon Bangkae, 607 Petchkasem Rd, Bang Wa, Phasi Charoen, Bangkok 10160","nails"
"Buya Salon - Exchange Tower","388, Exchange Tower Sukhumvit Rd, Khlong Toei Nuea, Watthana, Bangkok 10110","nails"
"Naily Tales","The Banyan Tree Community Mall, 3 Lat Phrao 15 Alley, Chom Phon, Chatuchak, Bangkok Thailand 10900","nails"
"[email protected]","Located in Selected 10 Branches","nails"
"Leafyy Natural","Craft Club BKK on 2nd floor, 1042 Sukhumvit44/2, Phra Khanong, Klongtoei, Bangkok 10110","nails"
"Sleep Salon & Nails (Siam)","Choose Dress 3rd Floor, Siam Square Soi 9, Chula 64 Road, Pathumwan, Bangkok 10330","nails"
"Debborah Nail Spa (Sukhumvit49 Branch)","49 Sukhumvit Rd, Klongton-Nua, Wattana Bangkok 10110","nails"
"JKs Stylish Hair Salon & Nail Spa","8/1 Sukhumvit 33 wattana bangkok 10110","nails"
"Green Leaf Spa at Chatrium Sathorn Hotel","Chatrium Sathorn Hotel, Floor 3A, 291 Chatrium Residence, Narathiwat Ratchanakarin 24 Alley, Chong Nonsi, Yannawa, Bangkok 10120","nails"
"Maison de Nail","Floor 1 Eight Thonglor building., Thonglor soi 8 Bangkok, Thailand 10110","nails"
"Posh Salon Sukhumvit 31","3/2 Soi sukhumvit31 Bangkok 10110","nails"
"Nailosophy - Silom Branch","30/4 Saladaeng Rd., Silom Bangrak Bangkok 10500","nails"
"Cherry Blossom Spa","Legacy Suites, Sukhumvit 29 (BTS Asoke / MRT Sukhumvit)","nails"
"Paint Nail Salon (The Market)","The Market Bangkok 4th floor Zone M2, 111 Ratchadamri Rd, Lumphini, Pathum Wan, Bangkok 10330","nails"
"Pixie Beauty Salon","16 Chaem Chan Alley, Khlong Tan Nuea, Watthana, Bangkok 10110","nails"
"Jennicure Nail Salon","Tha Maharaj Community Mall 1st Floor, Trok Mahathat , Maha Rat Rd, Khwaeng Phra Borom Maha Ratchawang, Khet Phra Nakhon, Bangkok 10120","nails"
"Easy Nail","BTS Krungthonburi Exit1, Khlong Ton Sai, Khlong San, Bangkok 10600","nails"
"Nail Parfait","3rd floor, The [email protected], Soi Chidlom, Ploenchit Rd. Bangkok 10330","nails"
"Beauty De Box","64 Sukhumvit23, (Prasanmit) Wattana ,Bangkok 10110","nails"
"Beauty One","JJ Mall, 228 Kamphaeng Phet 2 Rd, Khwaeng Chatuchak, Khet Chatuchak, Bangkok 10900","nails"
"Round About Nails","715 Prajadhipok Rd, Khwaeng Somdet Chao Phraya, Khet Khlong San, Bangkok","nails"
"Debborah Nail Spa (Wutthakat Branch)","2nd floor of The Entrance, 77 Soi Suanluang, Khwaeng Bang Kho, Khet Chom Thong, Bangkok 10150","nails"
"Glow Nails & Spa","Ari Hills 2nd Floor, 428 Phahonyothin Road, Soi 10, Phaya Thai, Bangkok 10400","nails"
"Sleep Salon & Nails (Ramintra)","9631 Pradit Manutham Road, Khlong Chan, Bang Kapi District, Bangkok 10240","nails"
"TAZiTA Spa and Art Design","CENTRAL at CentralWorld, 7th Floor, 999/9 Rama I Rd, Khwaeng Pathum Wan, Khet Pathum Wan, Bangkok 10330","nails"
"De Beaute Nail Bar and Spa","936/1 Soi Sukhumvit 55 Thonglor Rd, 936/1  Khlong Tan Nuea, Watthana, Bangkok 10110","nails"
"GLO One Stop Beauty Lounge by APEX","Apex Medical Center 4th Floor (BTS Ploenchit Ext 4) Duang Phithak Road, Khlong Toei, Bangkok 10110","nails"
"Easy Beauty","MRT Huaikhwang Exit2 74/7 Pracharat Bam Phen Road, Soi6, Huaikwang Bangkok 10310","nails"
"The Famed Beauty and Studio","2nd Prasarnmit Plaza, Sukhumvit 23, Klongtoey-Nuea, Wattana, Bangkok 10110","nails"
"Nails Now","68/286 Ladprao 122 Phlapphla, Wang Thonglang, Bangkok 10310","nails"
"Nail and Eyelash Lab by Preaw","Thepharak, Bang Mueang, Mueang Samut Prakan, Samut Prakan 10270","nails"
"Mon Nail Spa & Salon","E 103/1 floor 1 The Paseo Town, Ramkhamhaeng 127/3 Rd, Bangkok, Thailand 10240","nails"
"Madame Nail","90 Soi Sukhumvit 101/1, Bangna, Bangna, BKK 10260","nails"
"Niche Salon Bangkok","All Season place - CRC Tower 3rd Floor, 87 Witthayu Rd, Lumphini, Pathum Wan District, Bangkok 10330","nails"
"Nako Nail & Spa","278 Lat Phrao Rd, Chom Phon, Chatuchak, Bangkok 10900","nails"
"Vara's Nail Spa and beyond","189/7 Family Tree Apartment, Ladprao Soi 1,  Chom Phon, Chatuchak, Bangkok 10900","nails"
"Socialclub95 Nails & Spa","99 Lat Ya Road, Somdet Chao Phraya, Khlong San, Bangkok 10600","nails"
"TYME Spa","582/4 Lat Krabang Rd, Khwaeng Lat Krabang, Khet Lat Krabang, Bangkok 10520","nails"
"H.O.M House of Massage Siam Square","Siam Square Soi 3 , Pathum Wan, Pathum Wan, Bangkok 10330","nails"
"Anemone Nail & Eyebrow","124 (House number) , 9:53 Community Mall 3 Floor, Sukhumvit soi 53, Klongton numa, Wattana, Bangkok 10110","nails"
"De Flora Spa","216 Raj-U-Thid 200 Pee Road, Patong, Kathu, Ban Patong, Phuket, 83150Thailand","nails"
"CR Manee Nail Spa","8/1-5 The Paseo Park (Kanjanapisek),  Kanchanaphisek Rd, Sala Thammasop, Thawi Watthana, Bangkok 10170","nails"
"YOU & Me Nails and Spa","No.88, Thonglor soi 5, Sukhumvit 55, Klongtan-Nueng, Watthana, Bangkok, 10110","nails"
"Head2Toe (Silom)","212/6 Si Lom, Khwaeng Suriya Wong, Khet Bang Rak, Bangkok","nails"
"More Beaute Nail Spa","3rd Floor, Chamchuri Square Building, Phayathai Road, Pathumwan, Bangkok 10330","nails"
"Angel Nail Spa","310 Chan Rd, Thungwatdon ,Sathon ,Bangkok 10120","nails"
"The Secret Nails","2nd Floor, Paradise Place Mall (Haha Mall) next to Paradise Park Mall, Srinakarin Rd., Nong Bon, Prawet, Bangkok 10250","nails"
"Glam Nail Spa By Gam","20/262-264  Moo.9 Rd.`Prachachuen, Bang Tarad, Pak Kret, Nonthaburi 10110","nails"
"Nailogy","2/6 Phaholyothin7, soi.ari1, Samsennai,Phayathai, Bangkok 10400","nails"
"Lebs Nail Salon","Rainhill, sukhumvit47 Bangkok, Thailand 10110","nails"
"Glory Nails and Spa","Ladprao Hills, Lat Phrao 4 Alley, Chom Phon, Chatuchak, Bangkok 10900","nails"
"Nail Girls Sathorn","72/1 The Embassy Sathorn Hotel , Sathorn South, Tungmahamek, Sathorn Bangkok 10120","nails"
"About Color Nails & Spa","The Shelter,  Chok Chai 4 Rd, Saphansong, Wang Thonglang, Bangkok 10310","nails"
"BONITO Nails & Lashes","66 Rama 9 Road , Soi 41 (next to The Nine) Suan Luang Bangkok 10250","nails"
"Rainbow Nails Bangna","58/1 Bizzo Bangna,  Bang Na, Bangkok 10260","nails"
"PIJI Nail Bar","23 Saladaeng Rd, Khwaeng Silom, Bang Rak, Bangkok 10500","nails"
"Pink Area Beauty and Café","57 Lat Phrao 71 Alley, Nak Niwat Rd, Lat Phrao , Lat Phrao district Bangkok 10230","nails"
"New York Nails by Napass","111/11 Phahonyothin Rd. Samsennai, Phaya Thai, Bangkok 10400","nails"
"Hello Tokyo Siam 6","Siam square soi 6 412/15 floor 3 Rama 1 Pratunam, Bangkok, Thailand 10330","nails"
"iiNStyle Nail","1st Floor, Montien Hotel, Surawong Rd, Si Phraya, Bang Rak, Bangkok 10500","nails"
"Nailvana Nail & Spa","2th Floor Lido Connect, Rama 1 Rd, Pathum Wan, Pathum Wan District, Bangkok 10330","nails"
