"name","address","category"
"The Thai Massage & Spa","392/12-15 Sukhumvit 20 Alley, Khlong Toei, Bangkok 10110","spa_and_massage"
"Vimana Massage","BTS Sanam Pao, 1031/15  Phahon Yothin Rd. Samsennai Phayathai,Bangkok 10400","spa_and_massage"
"Ai Sa Waan @ Chidlom","1025/5-9 Phloenchit Rd. Lumpinee Patumwan Bangkok 10330","spa_and_massage"
"Golden Massage","22/1 Ekamai Soi 2, Soi Sukhumvit 63, Phra Khanong, Watthana, Bangkok 10110","spa_and_massage"
"PANPURI WELLNESS","PAÑPURI WELLNESS, 12th Floor, Gaysorn Urban Retreat, Gaysorn Village Ploenchit Road, Lumpini, Pathumwan Bangkok 10330 Thailand","spa_and_massage"
"Bellalin Clinic","268 Soi Phoem Sin, Din Daeng, Din Daeng, Bangkok 10400","spa_and_massage"
"Yunomori Onsen & Spa (Sathorn 10)","54 Soi Suksawittaya, Silom, Bang Rak, Bangkok 10500","spa_and_massage"
"RELIEF SPA AND THAI MASSAGE, Loft Bangkok Hotel","1091/290-294 New Petchaburi Road, Makkasan, Ratchathewi, Bangkok 10400 Thailand","spa_and_massage"
"Let's Relax Onsen Thong Lor","Grande Centre Point Sukhumvit 55 ,300 Sukhumvit Soi 55 (Thonglor) Sukhumvit Road, Kwang Klongtonnua, Khet Wattana , Bangkok. 10110","spa_and_massage"
"Kusatsu Onsen","97/15 Moo 5 Tambon Samed, Amphur Muang, Chonburi 20130","spa_and_massage"
"MYTH Urban Massage","28/3 Soi Ruamrudee, Wireless Road Lumpini, Pathumwan, Bangkok 10330","spa_and_massage"
"SIRI Massage & Spa","20/2-3 Sukhumvit 22, Khlong Toei, Bangkok, Thailand 10110","spa_and_massage"
"De Rest Spa & Thai Massage","BTS Chidlom Exit 2. Maneeya Center North 3 Floor. 518/3 Phloen Chit, Lhumpini, Bangkok 10330","spa_and_massage"
"Chonthong Thai Massage & Spa","55/29 Moo 10 Klong 1, Klong Luang, Pathum Thani 12120","spa_and_massage"
"Bangkok Spa","8 Floor, Pathumwan Princess Hotel, Phayathai Rd, Wang Mai, Pathum Wan, Bangkok 10330","spa_and_massage"
"Bigcut Hair World Center","5th floor,Zone A, MBK Center, 444 Phayathai Road Wang Mai, Pathumwan, Bangkok,10330","spa_and_massage"
"Senses Spa @ S31","S31 Sukhumvit Hotel 545 Sukhumvit 31, Klongtoey-Nua Wattana, Bangkok 10110","spa_and_massage"
"88 Beauty Bar","4077 Sukhumvit Rd. Soi 103/2, Bangna, Bangna, Bangkok, 10260","spa_and_massage"
"Ler Nails & Spa","26/2 Inthamara Alley, Samsen Nai, Phaya Thai, Bangkok 10400","spa_and_massage"
"Top Thai Massage (Thonglor)","159/16 Thonglor 9, Khlong Tan Nuea, Watthana, Bangkok 10110","spa_and_massage"
"Ton Tum Rub Nuad Massage & Spa","135/5 ถนนอัจฉริยะประสิทธิ์ Maha Sawat, Bang Kruai, Nonthaburi 11130","spa_and_massage"
"Oasis Spa Sukhumvit 31","64 Sukhumvit 31 Road Soi Sawasdee Wattana Bangkok 10110","spa_and_massage"
"Ko-lok Thai Massage","Stadium One 114 Rama I Rd, Wang Mai, Pathum Wan, Bangkok 10330","spa_and_massage"
"Salon at MYTH Urban","28/3 Soi Ruamrudee, Wireless Road Lumpini, Pathumwan, Bangkok 10330","spa_and_massage"
"Top Thai Massage (Phrom Phong)","12/1 Sukhumvit 33, Khlong Tan Nuea, Watthana, Bangkok 10110","spa_and_massage"
"Benjarong Massage & Spa","125/22 Thonglor Rd, Khlong Tan Nuea, Watthana, Bangkok 10110","spa_and_massage"
"Center Point Massage & Spa (Sukhumvit 24 Branch)","2/16 Sukhumvit 24 (Soi Kasem), Sukhumvit Road,Klongton, Klongtoey, Bangkok 10110","spa_and_massage"
"Mae Bua Massage","900/15 Samsen Rd, Nakhon Chai Si, Dusit, Bangkok 10300","spa_and_massage"
"Klai Kaya Massage","1/1 Soi Pradit(Silom 20), Surawong Rd, Bangrak Bangkok 10500","spa_and_massage"
"Viva Jiva Spa @ Lancaster Bangkok Hotel","1777 New Petchburi Road, Bangkapi, Huaykwang, Bangkok, Thailand 10310","spa_and_massage"
"Relaxing Time Massage and Spa","14/5 Sukhumvit15(Ruamjai) Klongtoey-Nua, Wattana, Bangkok 10110","spa_and_massage"
"Oasis Spa at Sukhumvit 51","88 Sukhumvit 51 Road Wattana Bangkok 10110","spa_and_massage"
"Lek Massage Asoke","390/5 Sukhumvit Road, klongtoey (Between ExchangeTower and Sukhumvi 18), Khlong Toei, Khlong Toei, Bangkok 10110","spa_and_massage"
"Veora Spa","14/46 Cascade Bangna Bangkaeo Bangphli Samut Prakan 10540","spa_and_massage"
"La Zensa Spa","86 Ekkamai 10 Alley, Lane 4, Phra Khanong Nuea, Watthana, Bangkok 10110","spa_and_massage"
"EOI Spa & Massage","24/3 CHAROEN NIWET, SUKHUMVIT 35, PRAKANONG, KLONGTOEY, BANGKOK 10110","spa_and_massage"
"Ivory Relax and Spa","Sukhumvit Soi 8","spa_and_massage"
"Baannok Massage","41/1 Ratchaphruek Rd, Taling Chan, Bangkok 10170","spa_and_massage"
"Nugust Spa & Massage","682/4 Sukhumvit 24 Klongton Klongtoey Bangkok 10110","spa_and_massage"
